group_size;enemyCount;hasCircle;stratName;friendlyCasts0;friendlyCasts1;friendlyCasts2;friendlyCasts3;friendlyCasts4;friendlyCasts5;enemyCasts0;enemyCasts1;enemyCasts2;enemyCasts3;enemyCasts4;enemyCasts5;ticksPerSecond;friendlyTicksPerTime;enemyTicksPerTime
5;2;1;ONESTACK;400;0;0;0;0;0;0;0;0;0;0;0;3.08849;1.75745;1.33104
5;2;1;ONESTACKENEMYFIRST;208;0;11;1;49;7;42;2;17;7;13;43;2.80401;1.53592;1.26809
5;2;1;ONESTACKENEMY;0;0;0;0;0;0;272;2;8;19;12;87;2.60682;1.29495;1.31187
5;2;1;ONESTACKFRIENDLY;341;0;4;4;40;11;0;0;0;0;0;0;3.00972;1.71709;1.29263
5;2;1;TWOSTACKS;397;3;0;0;0;0;0;0;0;0;0;0;3.10343;1.74366;1.35977
5;2;1;TWOSTACKSENEMYFIRST;168;13;0;0;0;0;212;7;0;0;0;0;2.87762;1.53945;1.33817
5;2;1;TWOSTACKSENEMY;365;4;31;0;0;0;0;0;0;0;0;0;3.11375;1.78514;1.32861
5;2;1;TWOSTACKSFRIENDLY;0;0;0;0;0;0;307;12;0;19;5;57;2.71382;1.34933;1.36449
5;2;1;THREESTACKS;302;3;25;0;0;0;0;2;68;0;0;0;2.86199;1.5854;1.27659
5;2;1;THREESTACKSENEMYFIRST;125;4;73;0;0;0;138;4;56;0;0;0;2.68605;1.4317;1.25435
5;2;1;THREESTACKSENEMY;358;14;28;0;0;0;0;0;0;0;0;0;3.00445;1.71857;1.28588
5;2;1;THREESTACKSFRIENDLY;0;0;0;0;0;0;299;11;11;26;6;47;2.69012;1.33356;1.35656
5;2;1;LOWEST;254;6;32;15;0;0;0;3;59;31;0;0;2.79598;1.54417;1.25181
5;2;1;LOWESTENEMYFIRST;107;15;60;18;0;0;122;2;34;42;0;0;2.65865;1.44094;1.21771
5;2;1;LOWESTENEMY;363;4;27;6;0;0;0;0;0;0;0;0;3.01936;1.73201;1.28735
5;2;1;LOWESTFRIENDLY;0;0;0;0;0;0;288;5;7;55;6;39;2.67384;1.32496;1.34888
5;3;1;FOCUSFRIENDLY;288;5;18;12;57;20;0;0;0;0;0;0;4.08023;2.2527;1.82753
5;3;1;FOCUSENEMY;0;0;0;0;0;0;225;9;9;41;29;87;3.70972;1.82475;1.88497
5;3;1;RANDOM;400;0;0;0;0;0;0;0;0;0;0;0;4.03279;2.21583;1.81696
5;3;1;RANDOMENEMY;114;0;0;0;0;0;286;0;0;0;0;0;4.02707;2.07717;1.9499
5;3;1;RANDOMFRIENDLY;0;0;0;0;0;0;333;13;10;26;11;7;3.84976;1.9089;1.94086
5;3;1;ONESTACK;399;0;0;0;1;0;0;0;0;0;0;0;4.06542;2.2252;1.84022
5;3;1;ONESTACKENEMYFIRST;154;2;17;6;33;16;77;2;17;17;18;41;3.64013;1.92436;1.71577
5;3;1;ONESTACKENEMY;0;0;0;0;0;0;240;12;14;31;20;83;3.63819;1.77433;1.86386
5;3;1;ONESTACKFRIENDLY;295;6;19;7;53;20;0;0;0;0;0;0;4.06133;2.23051;1.83082
5;3;1;TWOSTACKS;346;22;0;0;0;0;1;31;0;0;0;0;4.08858;2.22407;1.86451
5;3;1;TWOSTACKSENEMYFIRST;116;39;0;0;0;0;220;25;0;0;0;0;4.04068;2.11817;1.92251
5;3;1;TWOSTACKSENEMY;334;14;49;0;3;0;0;0;0;0;0;0;4.17313;2.2933;1.87983
5;3;1;TWOSTACKSFRIENDLY;0;0;0;0;0;0;322;28;6;14;5;25;3.94446;1.98666;1.9578
5;3;1;THREESTACKS;207;16;70;0;0;0;6;17;84;0;0;0;3.90139;2.08843;1.81296
5;3;1;THREESTACKSENEMYFIRST;73;10;104;0;0;0;132;9;72;0;0;0;3.76164;1.95959;1.80205
5;3;1;THREESTACKSENEMY;330;21;49;0;0;0;0;0;0;0;0;0;4.02092;2.20954;1.81138
5;3;1;THREESTACKSFRIENDLY;0;0;0;0;0;0;298;24;42;15;7;14;3.86615;1.91475;1.9514
5;3;1;LOWEST;150;7;56;52;0;0;2;9;57;67;0;0;3.65226;1.93809;1.71417
5;3;1;LOWESTENEMYFIRST;39;19;68;41;0;0;99;7;39;88;0;0;3.5684;1.84908;1.71932
5;3;1;LOWESTENEMY;301;10;56;33;0;0;0;0;0;0;0;0;4.01274;2.21213;1.80061
5;3;1;LOWESTFRIENDLY;0;0;0;0;0;0;250;8;26;101;3;12;3.85799;1.91563;1.94236
5;4;1;FOCUSFRIENDLY;275;7;20;23;42;33;0;0;0;0;0;0;4.52624;2.42917;2.09707
5;4;1;FOCUSENEMY;0;0;0;0;0;0;227;23;20;36;34;60;4.42585;2.13651;2.28934
5;4;1;RANDOM;391;0;0;0;0;0;9;0;0;0;0;0;4.68932;2.49464;2.19468
5;4;1;RANDOMENEMY;46;0;0;0;0;0;354;0;0;0;0;0;4.79627;2.38786;2.40841
5;4;1;RANDOMFRIENDLY;0;0;0;0;0;0;357;11;13;12;6;1;4.63348;2.24452;2.38896
5;4;1;ONESTACK;387;4;5;3;1;0;0;0;0;0;0;0;5.0319;2.68456;2.34734
5;4;1;ONESTACKENEMYFIRST;132;8;19;10;26;20;89;9;22;16;29;20;4.39994;2.24412;2.15582
5;4;1;ONESTACKENEMY;0;0;0;0;0;0;267;13;16;31;27;46;4.29846;2.07121;2.22725
5;4;1;ONESTACKFRIENDLY;291;14;13;21;33;28;0;0;0;0;0;0;4.42819;2.37277;2.05542
5;4;1;TWOSTACKS;264;56;0;0;0;0;21;59;0;0;0;0;4.83152;2.53267;2.29885
5;4;1;TWOSTACKSENEMYFIRST;48;60;0;0;0;0;236;56;0;0;0;0;4.7867;2.3987;2.388
5;4;1;TWOSTACKSENEMY;280;32;83;1;3;1;0;0;0;0;0;0;5.063;2.68704;2.37596
5;4;1;TWOSTACKSFRIENDLY;0;0;0;0;0;0;330;46;2;4;4;14;4.62618;2.27059;2.35559
5;4;1;THREESTACKS;148;26;102;0;0;0;9;23;92;0;0;0;4.65871;2.40546;2.25325
5;4;1;THREESTACKSENEMYFIRST;27;17;120;0;0;0;117;24;95;0;0;0;4.4325;2.24505;2.18745
5;4;1;THREESTACKSENEMY;300;25;74;0;0;1;0;0;0;0;0;0;4.9844;2.66058;2.32382
5;4;1;THREESTACKSFRIENDLY;0;0;0;0;0;0;292;25;61;11;4;7;4.69358;2.28768;2.4059
5;4;1;LOWEST;87;14;67;86;0;0;1;8;51;86;0;0;4.3889;2.26153;2.12737
5;4;1;LOWESTENEMYFIRST;11;15;76;46;0;0;86;16;45;105;0;0;4.39105;2.21007;2.18098
5;4;1;LOWESTENEMY;246;20;67;66;0;1;0;0;0;0;0;0;4.91432;2.62179;2.29253
5;4;1;LOWESTFRIENDLY;0;0;0;0;0;0;228;19;42;109;1;1;4.66269;2.26744;2.39525
5;5;1;FOCUSFRIENDLY;265;17;13;29;38;38;0;0;0;0;0;0;4.69765;2.50088;2.19677
5;5;1;FOCUSENEMY;0;0;0;0;0;0;241;17;20;26;39;57;5.02851;2.35775;2.67076
5;5;1;RANDOM;384;0;0;0;0;0;16;0;0;0;0;0;5.15731;2.68231;2.475
5;5;1;RANDOMENEMY;15;0;0;0;0;0;385;0;0;0;0;0;5.73287;2.77866;2.95421
5;5;1;RANDOMFRIENDLY;0;0;0;0;0;0;385;8;4;3;0;0;5.21905;2.4967;2.72235
5;5;1;ONESTACK;383;4;9;2;2;0;0;0;0;0;0;0;5.15105;2.68305;2.468
5;5;1;ONESTACKENEMYFIRST;99;10;23;16;30;17;95;10;27;9;27;37;5.26134;2.62592;2.63542
5;5;1;ONESTACKENEMY;0;0;0;0;0;0;263;22;20;25;31;39;4.90378;2.32308;2.5807
5;5;1;ONESTACKFRIENDLY;253;19;21;35;32;40;0;0;0;0;0;0;5.24551;2.71852;2.52699
5;5;1;TWOSTACKS;246;64;0;0;0;0;29;61;0;0;0;0;5.5209;2.81791;2.70299
5;5;1;TWOSTACKSENEMYFIRST;24;67;0;0;0;0;229;80;0;0;0;0;5.55446;2.72887;2.82559
5;5;1;TWOSTACKSENEMY;263;43;89;2;3;0;0;0;0;0;0;0;5.60518;2.92069;2.68449
5;5;1;TWOSTACKSFRIENDLY;0;0;0;0;0;0;322;69;1;2;0;6;5.49722;2.66133;2.83589
5;5;1;THREESTACKS;110;26;104;0;0;0;12;24;124;0;0;0;5.05558;2.54919;2.50639
5;5;1;THREESTACKSENEMYFIRST;11;20;130;0;0;0;105;25;109;0;0;0;5.302;2.6243;2.6777
