group_size;enemyCount;hasCircle;stratName;friendlyCasts0;friendlyCasts1;friendlyCasts2;friendlyCasts3;friendlyCasts4;friendlyCasts5;enemyCasts0;enemyCasts1;enemyCasts2;enemyCasts3;enemyCasts4;enemyCasts5;ticksPerSecond;friendlyTicksPerTime;enemyTicksPerTime
1;9;1;TWOSTACKSENEMY;295;0;0;13;1;91;0;0;0;0;0;0;1.46348;0.76677;0.69671
1;9;1;TWOSTACKSFRIENDLY;0;0;0;0;0;0;400;0;0;0;0;0;1.91212;0.76414;1.14798
1;9;1;THREESTACKS;100;0;21;0;0;0;262;1;16;0;0;0;1.76268;0.74911;1.01357
1;9;1;THREESTACKSENEMYFIRST;0;0;31;0;0;0;369;0;0;0;0;0;1.81197;0.72718;1.08479
1;9;1;THREESTACKSENEMY;291;0;2;8;3;96;0;0;0;0;0;0;1.47677;0.7709;0.70587
1;9;1;THREESTACKSFRIENDLY;0;0;0;0;0;0;399;0;1;0;0;0;1.93702;0.76806;1.16896
1;9;1;LOWEST;100;1;23;4;0;0;262;1;9;0;0;0;1.74368;0.73964;1.00404
1;9;1;LOWESTENEMYFIRST;0;0;27;0;0;0;369;0;4;0;0;0;1.84382;0.73482;1.109
1;9;1;LOWESTENEMY;288;0;1;12;3;96;0;0;0;0;0;0;1.4874;0.77422;0.71318
1;9;1;LOWESTFRIENDLY;0;0;0;0;0;0;398;0;2;0;0;0;1.92258;0.76226;1.16032
1;10;1;FOCUSFRIENDLY;289;2;0;14;3;92;0;0;0;0;0;0;1.47151;0.76844;0.70307
1;10;1;FOCUSENEMY;0;0;0;0;0;0;397;0;0;0;3;0;1.91444;0.75231;1.16213
1;10;1;RANDOM;29;0;0;0;0;0;371;0;0;0;0;0;1.8924;0.76885;1.12355
1;10;1;RANDOMENEMY;0;0;0;0;0;0;400;0;0;0;0;0;1.95269;0.76191;1.19078
1;10;1;RANDOMFRIENDLY;0;0;0;0;0;0;400;0;0;0;0;0;1.89621;0.75602;1.14019
1;10;1;ONESTACK;290;0;0;13;3;94;0;0;0;0;0;0;1.48208;0.77545;0.70663
1;10;1;ONESTACKENEMYFIRST;5;0;4;0;1;23;354;0;1;0;11;1;1.80581;0.72883;1.07698
1;10;1;ONESTACKENEMY;0;0;0;0;0;0;390;0;0;0;9;1;1.9316;0.76349;1.16811
1;10;1;ONESTACKFRIENDLY;290;0;0;6;4;100;0;0;0;0;0;0;1.45149;0.76434;0.68715
1;10;1;TWOSTACKS;12;0;0;0;0;0;388;0;0;0;0;0;1.91952;0.76711;1.15241
